"DateTime";"Players";"Average Players";"Flags"
"2022-09-29 00:00:00";51845;42706;
"2022-09-30 00:00:00";75547;44822;
"2022-10-01 00:00:00";75749;53582;
"2022-10-02 00:00:00";78449;51957;
"2022-10-03 00:00:00";69646;42098;
"2022-10-04 00:00:00";64630;38471;
"2022-10-05 00:00:00";64611;37431;
"2022-10-06 00:00:00";62948;38051;
"2022-10-07 00:00:00";66765;41697;
"2022-10-08 00:00:00";65819;46131;
"2022-10-09 00:00:00";66414;44292;
"2022-10-10 00:00:00";64199;35125;
"2022-10-11 00:00:00";58290;33133;
"2022-10-12 00:00:00";59364;33940;
"2022-10-13 00:00:00";58016;34588;
"2022-10-14 00:00:00";66377;39668;
"2022-10-15 00:00:00";64159;45010;
"2022-10-16 00:00:00";59779;40902;
"2022-10-17 00:00:00";59535;32434;
"2022-10-18 00:00:00";55237;31956;
"2022-10-19 00:00:00";53334;30894;
"2022-10-20 00:00:00";54537;31974;
"2022-10-21 00:00:00";59400;36196;
"2022-10-22 00:00:00";57823;40274;
"2022-10-23 00:00:00";57615;38198;
"2022-10-24 00:00:00";57816;30560;
"2022-10-25 00:00:00";48192;29258;
"2022-10-26 00:00:00";50023;29282;
"2022-10-27 00:00:00";48491;30411;
"2022-10-28 00:00:00";55834;34080;
"2022-10-29 00:00:00";53557;37386;
"2022-10-30 00:00:00";52625;36129;
"2022-10-31 00:00:00";45334;28204;
"2022-11-01 00:00:00";45722;27622;
"2022-11-02 00:00:00";44699;27055;
"2022-11-03 00:00:00";42854;27353;
"2022-11-04 00:00:00";50236;31128;
"2022-11-05 00:00:00";49181;34968;
"2022-11-06 00:00:00";49259;32926;
"2022-11-07 00:00:00";40341;23887;
"2022-11-08 00:00:00";44503;24070;
"2022-11-09 00:00:00";47912;26175;
"2022-11-10 00:00:00";42762;26753;
"2022-11-11 00:00:00";70232;34435;
"2022-11-12 00:00:00";56235;40656;
"2022-11-13 00:00:00";52252;36767;
"2022-11-14 00:00:00";49175;27365;
"2022-11-15 00:00:00";43068;25776;
"2022-11-16 00:00:00";40120;25084;
"2022-11-17 00:00:00";39775;24632;
"2022-11-18 00:00:00";44200;26837;
"2022-11-19 00:00:00";44954;31495;
"2022-11-20 00:00:00";40631;28760;
"2022-11-21 00:00:00";38879;20618;
"2022-11-22 00:00:00";36057;21151;
"2022-11-23 00:00:00";46821;25472;
"2022-11-24 00:00:00";47907;27352;
"2022-11-25 00:00:00";61804;36205;
"2022-11-26 00:00:00";61929;43675;
"2022-11-27 00:00:00";62516;43030;
"2022-11-28 00:00:00";53418;33338;
"2022-11-29 00:00:00";51254;33117;
"2022-11-30 00:00:00";49056;31388;
"2022-12-01 00:00:00";49144;30994;
"2022-12-02 00:00:00";52810;33151;
"2022-12-03 00:00:00";54367;37855;
"2022-12-04 00:00:00";50673;35757;
"2022-12-05 00:00:00";43313;26970;
"2022-12-06 00:00:00";40196;26596;
"2022-12-07 00:00:00";39003;26541;
"2022-12-08 00:00:00";40536;27506;
"2022-12-09 00:00:00";56337;32050;
"2022-12-10 00:00:00";64822;42246;
"2022-12-11 00:00:00";64163;45957;
"2022-12-12 00:00:00";59621;38989;
"2022-12-13 00:00:00";59845;39474;
"2022-12-14 00:00:00";60319;39579;
"2022-12-15 00:00:00";59585;41896;
"2022-12-16 00:00:00";74297;50414;
"2022-12-17 00:00:00";84562;62938;
"2022-12-18 00:00:00";91770;62242;
"2022-12-19 00:00:00";85735;57391;
"2022-12-20 00:00:00";76190;53444;
"2022-12-21 00:00:00";78016;55629;
"2022-12-22 00:00:00";80375;57873;
"2022-12-23 00:00:00";94618;63776;
"2022-12-24 00:00:00";86132;66560;
"2022-12-25 00:00:00";87635;64112;
"2022-12-26 00:00:00";92443;64490;
"2022-12-27 00:00:00";93233;65007;
"2022-12-28 00:00:00";91568;64889;
"2022-12-29 00:00:00";91132;65148;
"2022-12-30 00:00:00";99191;68641;
"2022-12-31 00:00:00";87918;67314;
"2023-01-01 00:00:00";105799;67153;
"2023-01-02 00:00:00";98759;69475;
"2023-01-03 00:00:00";96382;63344;
"2023-01-04 00:00:00";101533;64574;
"2023-01-05 00:00:00";97286;64686;
"2023-01-06 00:00:00";109795;70627;
"2023-01-07 00:00:00";102965;74623;
"2023-01-08 00:00:00";95381;70079;
"2023-01-09 00:00:00";88732;55453;
"2023-01-10 00:00:00";79386;53089;
"2023-01-11 00:00:00";78061;50909;
"2023-01-12 00:00:00";77903;45720;
"2023-01-13 00:00:00";83181;56002;
"2023-01-14 00:00:00";88447;63473;
"2023-01-15 00:00:00";86925;62099;
"2023-01-16 00:00:00";74018;49505;
"2023-01-17 00:00:00";73401;46854;
"2023-01-18 00:00:00";75728;48213;
"2023-01-19 00:00:00";70502;47942;
"2023-01-20 00:00:00";103381;57716;
"2023-01-21 00:00:00";92897;65518;
"2023-01-22 00:00:00";104141;66014;
