"DateTime";"Players";"Average Players";"Flags"
"2022-02-23 00:00:00";74776;;
"2022-02-24 00:00:00";71859;;
"2022-02-25 00:00:00";71927;;
"2022-02-26 00:00:00";70692;;
"2022-02-27 00:00:00";67631;;
"2022-02-28 00:00:00";62822;;
"2022-03-01 00:00:00";60693;;
"2022-03-02 00:00:00";58980;;
"2022-03-03 00:00:00";59413;;
"2022-03-04 00:00:00";72439;;
"2022-03-05 00:00:00";69788;;
"2022-03-06 00:00:00";70812;;
"2022-03-07 00:00:00";61584;;
"2022-03-08 00:00:00";56712;;
"2022-03-09 00:00:00";60608;;
"2022-03-10 00:00:00";64805;;
"2022-03-11 00:00:00";73880;;
"2022-03-12 00:00:00";72015;;
"2022-03-13 00:00:00";76746;;
"2022-03-14 00:00:00";62529;;
"2022-03-15 00:00:00";63789;;
"2022-03-16 00:00:00";65425;;
"2022-03-17 00:00:00";64853;;
"2022-03-18 00:00:00";76574;;
"2022-03-19 00:00:00";74670;;
"2022-03-20 00:00:00";76654;;
"2022-03-21 00:00:00";66095;;
"2022-03-22 00:00:00";63778;;
"2022-03-23 00:00:00";63459;;
"2022-03-24 00:00:00";66999;;
"2022-03-25 00:00:00";68219;;
"2022-03-26 00:00:00";70969;;
"2022-03-27 00:00:00";69363;;
"2022-03-28 00:00:00";61300;;
"2022-03-29 00:00:00";60708;;
"2022-03-30 00:00:00";58582;;
"2022-03-31 00:00:00";60665;;
"2022-04-01 00:00:00";65464;;
"2022-04-02 00:00:00";67453;;
"2022-04-03 00:00:00";67062;;
"2022-04-04 00:00:00";55674;;
"2022-04-05 00:00:00";55857;;
"2022-04-06 00:00:00";55156;;
"2022-04-07 00:00:00";56924;;
"2022-04-08 00:00:00";65615;;
"2022-04-09 00:00:00";64277;;
"2022-04-10 00:00:00";61563;;
"2022-04-11 00:00:00";57974;;
"2022-04-12 00:00:00";56369;;
"2022-04-13 00:00:00";54768;;
"2022-04-14 00:00:00";56792;;
"2022-04-15 00:00:00";63130;;
"2022-04-16 00:00:00";59615;;
"2022-04-17 00:00:00";58532;;
"2022-04-18 00:00:00";54255;;
"2022-04-19 00:00:00";51583;;
"2022-04-20 00:00:00";53312;;
"2022-04-21 00:00:00";55265;;
"2022-04-22 00:00:00";60444;;
"2022-04-23 00:00:00";60858;;
"2022-04-24 00:00:00";61860;;
"2022-04-25 00:00:00";54583;;
"2022-04-26 00:00:00";52989;;
"2022-04-27 00:00:00";54260;;
"2022-04-28 00:00:00";55725;;
"2022-04-29 00:00:00";69807;;
"2022-04-30 00:00:00";66956;;
"2022-05-01 00:00:00";68059;;
"2022-05-02 00:00:00";59144;;
"2022-05-03 00:00:00";59304;;
"2022-05-04 00:00:00";59801;;
"2022-05-05 00:00:00";57154;;
"2022-05-06 00:00:00";71733;;
"2022-05-07 00:00:00";71177;;
"2022-05-08 00:00:00";71239;;
"2022-05-09 00:00:00";65237;;
"2022-05-10 00:00:00";61288;;
"2022-05-11 00:00:00";62645;;
"2022-05-12 00:00:00";60936;;
"2022-05-13 00:00:00";61880;;
"2022-05-14 00:00:00";61601;;
"2022-05-15 00:00:00";63863;;
"2022-05-16 00:00:00";56956;;
"2022-05-17 00:00:00";55492;;
"2022-05-18 00:00:00";56968;;
"2022-05-19 00:00:00";53197;;
"2022-05-20 00:00:00";73130;;
"2022-05-21 00:00:00";84305;;
"2022-05-22 00:00:00";91478;;
"2022-05-23 00:00:00";87149;;
"2022-05-24 00:00:00";86557;;
"2022-05-25 00:00:00";93131;;
"2022-05-26 00:00:00";88967;;
"2022-05-27 00:00:00";96905;;
"2022-05-28 00:00:00";104090;;
"2022-05-29 00:00:00";108295;;
"2022-05-30 00:00:00";103583;;
"2022-05-31 00:00:00";103295;;
"2022-06-01 00:00:00";94337;;
"2022-06-02 00:00:00";90060;;
"2022-06-03 00:00:00";90099;;
"2022-06-04 00:00:00";92364;;
"2022-06-05 00:00:00";89736;;
"2022-06-06 00:00:00";82480;;
"2022-06-07 00:00:00";78731;;
"2022-06-08 00:00:00";75263;;
"2022-06-09 00:00:00";76968;;
"2022-06-10 00:00:00";82926;;
"2022-06-11 00:00:00";84034;;
"2022-06-12 00:00:00";81300;;
"2022-06-13 00:00:00";75329;;
"2022-06-14 00:00:00";72678;;
"2022-06-15 00:00:00";71653;;
"2022-06-16 00:00:00";73062;;
